,Neighborhood,LAT,LNG
0,الفراية,35.12638888888889,36.754444444444445
1,الكيلانية,35.13527777777778,36.75388888888889
2,البرازية,35.125,36.751666666666665
3,الطوافرة,35.135,36.75277777777778
4,المحالبة,35.124722222222225,36.74888888888889
5,سوق الشجرة,35.128055555555555,36.74888888888889
6,البارودية,35.13305555555556,36.75888888888889
7,الأميرية,35.13861111111111,36.76027777777778
8,الجراجمة,35.13388888888889,36.74111111111111
9,الحاضر,35.13638888888889,36.759166666666665
10,السخانة,35.47666666666667,37.7
11,الصابونية الشريعة,35.12222222222222,36.76166666666667
12,العليليات,35.126666666666665,36.76027777777778
13,جنوب الملعب,35.11,36.76111111111111
14,الدباغة,35.13111111111111,36.75222222222222
15,عين اللوزة,35.11972222222222,36.75361111111111
16,كازو,35.14944444444444,36.72416666666667
17,القصور,35.146388888888886,36.780277777777776
18,الفيحاء,35.15083333333333,36.765277777777776
19,طريق حلب,35.145833333333336,36.75555555555555
20,البياض,35.12388888888889,36.74638888888889
21,الجلاء,35.12361111111111,36.7425
22,جنوب الثكنة,35.132222222222225,36.7375
23,غرب المشتل,35.113055555555555,36.749722222222225
24,الاربعين,35.14944444444444,36.770833333333336
25,البعث (الكرامة),35.1375,36.72888888888889
26,باب قبلي,35.13194444444444,36.744166666666665
27,الشيخ عنبر,35.126666666666665,36.74583333333333
28,المدينة,35.13388888888889,36.74472222222222
29,باب البلد,35.12722222222222,36.7525
30,الأندلس,35.126666666666665,36.73694444444445
31,المحافظة,35.28,37.261944444444445
32,الباشورة,35.1325,36.75111111111111
33,الحميدية,35.14,36.763888888888886
34,الثامن من آذار,35.14472222222222,36.76555555555556
35,الضاهرية,35.161944444444444,36.73111111111111
36,ضاحية أبي الفداء,35.10305555555556,36.76111111111111
