,Neighborhood,LAT,LNG
0,farayah,35.12638888888889,36.75444444444445
1,kaylanya,35.13527777777778,36.75388888888889
2,barazya,35.125,36.751666666666665
3,tawafra,35.135,36.75277777777778
4,mahalba,35.124722222222225,36.748888888888885
5,souq alshajara,35.128055555555555,36.748888888888885
6,barodia,35.13305555555556,36.75888888888889
7,ameria,35.13861111111111,36.76027777777778
8,jarajmah,35.13388888888889,36.74111111111111
9,hader,35.13638888888889,36.759166666666665
10,sakhana,35.47666666666667,37.7
11,saboneah,35.12222222222222,36.76166666666667
12,aleleat,35.126666666666665,36.76027777777778
13,janob almalab,35.11,36.76111111111111
14,dabaga,35.13111111111111,36.752222222222215
15,ain allawza,35.119722222222215,36.75361111111111
16,kazo,35.14944444444444,36.72416666666667
17,qosor,35.146388888888886,36.78027777777777
18,fayhaa,35.15083333333333,36.76527777777777
19,tareq halab,35.145833333333336,36.755555555555546
20,bayad,35.123888888888885,36.74638888888889
21,jala,35.12361111111111,36.7425
22,janob thakana,35.132222222222225,36.7375
23,garb almashtal,35.113055555555555,36.749722222222225
24,alarbain,35.14944444444444,36.770833333333336
25,albaath,35.1375,36.72888888888889
26,bab qebly,35.13194444444444,36.744166666666665
27,alshaekh anbar,35.126666666666665,36.74583333333333
28,al madena,35.13388888888889,36.744722222222215
29,bab albalad,35.127222222222215,36.7525
30,al andalos,35.126666666666665,36.736944444444454
31,almohafaza,35.28,37.26194444444445
32,albashora,35.1325,36.751111111111115
33,alhamedia,35.14,36.763888888888886
34,althamen men azar,35.14472222222222,36.765555555555565
35,aldahria,35.161944444444444,36.73111111111111
36,daheat aby alfeda,35.10305555555556,36.76111111111111
