,Neighborhood,LAT,LNG
0,bab amer,34.70638888888889,36.68527777777778
1,albayada,34.74916666666667,36.72805555555556
2,jorat alshayah,34.73638888888889,36.71083333333333
3,alkhalediah,34.74027777777778,36.71888888888889
4,dair balba,34.75055555555556,36.74444444444445
5,alqosor,34.745,36.71055555555556
6,alnazha,34.71611111111111,36.71861111111111
7,alenshaat,34.72138888888889,36.69888888888889
8,bab tadmor,34.73027777777778,36.721944444444446
9,bab altorkman,34.725,36.7125
10,bab aldryb,34.72638888888889,36.721944444444446
11,bab alseba,34.72,36.71861111111111
12,bab hud,34.72666666666667,36.7125
13,bostan aldewan,34.724444444444444,36.714166666666664
14,bany alsebaee,34.7275,36.71666666666667
15,altawzee alejbary,34.71888888888889,36.693888888888885
16,aljameaa,34.71222222222222,36.706944444444446
17,job aljandaly,34.72611111111111,36.73111111111111
18,jobar,34.70638888888889,36.68527777777778
19,alhamra,34.7325,36.7
20,alhamediaa,34.734722222222224,36.719166666666666
21,alkhoder,34.719166666666666,36.71472222222222
22,aldablan,34.730555555555554,36.7075
23,alzahra,34.73222222222222,36.73277777777778
24,aladaweah,34.718333333333334,36.721666666666664
25,ashera,36.61833333333333,37.37555555555556
26,akrema,34.71277777777778,36.71611111111111
27,algota,34.735277777777775,36.7025
28,alkabarees,34.73916666666667,36.706944444444446
29,karm alzaeton,34.719166666666666,36.72611111111111
30,karm alshamee,34.71944444444444,36.7075
31,karm alloz,34.71194444444444,36.724444444444444
32,almahata,34.72416666666667,36.70666666666666
33,almokhaeam,36.19361111111111,36.696666666666665
34,almedan,34.713055555555556,36.70944444444444
35,wadi alzahab,34.69638888888889,36.733333333333334
36,alwarsha,34.72888888888889,36.723055555555554
37,alwaar aljadeed,34.73861111111111,36.6725
38,alwaar alkadeem,34.73861111111111,36.6725
39,algota,34.735277777777775,36.7025
40,almalaab,34.710277777777776,36.68361111111111
41,alhamra,34.73277777777778,36.699444444444445
